student_code,user_id,skill_name,correct,absence_rate,AI_detection ,start_time,submit time,delivery_hours,class_Activities
50032024,136450,Mapping code using a flowchart and pseudocode,1,0.033,0.22,2024-02-25 22:24:00,2024-02-27 21:56:00,47.53,0.05
51032024,136480,Logical Reasoning and Objectivity (critical thinking),1,0.0,0.55,2024-02-25 22:24:00,2024-02-27 21:54:00,47.5,0.05
52032024,136480,Problem-solving,1,0.0,0.55,2024-02-25 22:24:00,2024-02-27 21:54:00,47.5,0.05
53032024,136480,Writing coding effectively,1,0.0,0.55,2024-02-25 22:24:00,2024-02-27 21:54:00,47.5,0.05
54032024,136480,Interaction with algorithm,1,0.0,0.55,2024-02-25 22:24:00,2024-02-27 21:54:00,47.5,0.05
55032024,136480,Mapping code using a flowchart and pseudocode,1,0.0,0.55,2024-02-25 22:24:00,2024-02-27 21:54:00,47.5,0.05
56032024,136565,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.82,2024-02-25 22:24:00,2024-02-27 21:29:00,47.09,0.15
57032024,136565,Problem-solving,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 21:29:00,47.09,0.15
58032024,136565,Writing coding effectively,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 21:29:00,47.09,0.15
59032024,136565,Interaction with algorithm,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 21:29:00,47.09,0.15
60032024,136565,Mapping code using a flowchart and pseudocode,1,0.067,0.82,2024-02-25 22:24:00,2024-02-27 21:29:00,47.09,0.15
61032024,136629,Logical Reasoning and Objectivity (critical thinking),1,0.033,0.1,2024-02-25 22:24:00,2024-02-27 20:28:00,46.07,0.35
62032024,136629,Problem-solving,1,0.033,0.1,2024-02-25 22:24:00,2024-02-27 20:28:00,46.07,0.35
63032024,136629,Writing coding effectively,1,0.033,0.1,2024-02-25 22:24:00,2024-02-27 20:28:00,46.07,0.35
64032024,136629,Interaction with algorithm,1,0.033,0.1,2024-02-25 22:24:00,2024-02-27 20:28:00,46.07,0.35
65032024,136629,Mapping code using a flowchart and pseudocode,1,0.033,0.1,2024-02-25 22:24:00,2024-02-27 20:28:00,46.07,0.35
66032024,136912,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.54,2024-02-25 22:24:00,2024-02-27 21:38:00,47.23,0.35
67032024,136912,Problem-solving,1,0.0,0.54,2024-02-25 22:24:00,2024-02-27 21:38:00,47.23,0.35
68032024,136912,Writing coding effectively,1,0.0,0.54,2024-02-25 22:24:00,2024-02-27 21:38:00,47.23,0.35
69032024,136912,Interaction with algorithm,1,0.0,0.54,2024-02-25 22:24:00,2024-02-27 21:38:00,47.23,0.35
70032024,136912,Mapping code using a flowchart and pseudocode,0,0.0,0.54,2024-02-25 22:24:00,2024-02-27 21:38:00,47.23,0.35
71032024,136943,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.29,2024-02-25 22:24:00,2024-02-27 21:24:00,46.99,0.20
72032024,136943,Problem-solving,1,0.033,0.29,2024-02-25 22:24:00,2024-02-27 21:24:00,46.99,0.20
73032024,136943,Writing coding effectively,1,0.033,0.29,2024-02-25 22:24:00,2024-02-27 21:24:00,46.99,0.20
74032024,136943,Interaction with algorithm,1,0.033,0.29,2024-02-25 22:24:00,2024-02-27 21:24:00,46.99,0.20
75032024,136943,Mapping code using a flowchart and pseudocode,1,0.033,0.29,2024-02-25 22:24:00,2024-02-27 21:24:00,46.99,0.20
76032024,137146,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.55,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55,0.40
77032024,137146,Problem-solving,1,0.067,0.55,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55,0.40
78032024,137146,Writing coding effectively,1,0.067,0.55,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55,0.40
79032024,137146,Interaction with algorithm,1,0.067,0.55,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55,0.40
80032024,137146,Mapping code using a flowchart and pseudocode,0,0.067,0.55,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55,0.40
81032024,137171,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.3,2024-02-25 22:24:00,2024-02-27 21:55:00,47.51,0.40
82032024,137171,Problem-solving,1,0.033,0.3,2024-02-25 22:24:00,2024-02-27 21:55:00,47.51,0.40
83032024,137171,Writing coding effectively,1,0.033,0.3,2024-02-25 22:24:00,2024-02-27 21:55:00,47.51,0.40
84032024,137171,Interaction with algorithm,1,0.033,0.3,2024-02-25 22:24:00,2024-02-27 21:55:00,47.51,0.40
85032024,137171,Mapping code using a flowchart and pseudocode,0,0.033,0.3,2024-02-25 22:24:00,2024-02-27 21:55:00,47.51,0.40
86032024,137238,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.25,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55,0.35
87032024,137238,Problem-solving,1,0.067,0.25,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55,0.35
88032024,137238,Writing coding effectively,1,0.067,0.25,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55,0.35
89032024,137238,Interaction with algorithm,1,0.067,0.25,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55,0.35
90032024,137238,Mapping code using a flowchart and pseudocode,1,0.067,0.25,2024-02-25 22:24:00,2024-02-27 21:57:00,47.55,0.35
91032024,137259,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.08,2024-02-25 22:24:00,2024-02-27 21:52:00,47.46,0.40
92032024,137259,Problem-solving,1,0.0,0.08,2024-02-25 22:24:00,2024-02-27 21:52:00,47.46,0.40
93032024,137259,Writing coding effectively,1,0.0,0.08,2024-02-25 22:24:00,2024-02-27 21:52:00,47.46,0.40
94032024,137259,Interaction with algorithm,1,0.0,0.08,2024-02-25 22:24:00,2024-02-27 21:52:00,47.46,0.40
95032024,137259,Mapping code using a flowchart and pseudocode,0,0.0,0.08,2024-02-25 22:24:00,2024-02-27 21:52:00,47.46,0.40
96032024,137407,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.19,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05,0.35
97032024,137407,Problem-solving,0,0.033,0.19,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05,0.35
98032024,137407,Writing coding effectively,1,0.033,0.19,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05,0.35
99032024,137407,Interaction with algorithm,1,0.033,0.19,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05,0.35
100032024,137407,Mapping code using a flowchart and pseudocode,0,0.033,0.19,2024-02-25 22:24:00,2024-03-03 11:27:00,157.05,0.35
101032024,137472,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.15,2024-02-25 22:24:00,2024-02-27 21:12:00,46.8,0.05
102032024,137472,Problem-solving,1,0.067,0.15,2024-02-25 22:24:00,2024-02-27 21:12:00,46.8,0.05
103032024,137472,Writing coding effectively,1,0.067,0.15,2024-02-25 22:24:00,2024-02-27 21:12:00,46.8,0.05
104032024,137472,Interaction with algorithm,1,0.067,0.15,2024-02-25 22:24:00,2024-02-27 21:12:00,46.8,0.05
105032024,137472,Mapping code using a flowchart and pseudocode,0,0.067,0.15,2024-02-25 22:24:00,2024-02-27 21:12:00,46.8,0.05
106032024,137620,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.61,2024-02-25 22:24:00,2024-02-27 19:01:00,44.61,0.20
107032024,137620,Problem-solving,1,0.0,0.61,2024-02-25 22:24:00,2024-02-27 19:01:00,44.61,0.20
108032024,137620,Writing coding effectively,1,0.0,0.61,2024-02-25 22:24:00,2024-02-27 19:01:00,44.61,0.20
109032024,137620,Interaction with algorithm,1,0.0,0.61,2024-02-25 22:24:00,2024-02-27 19:01:00,44.61,0.20
110032024,137620,Mapping code using a flowchart and pseudocode,1,0.0,0.61,2024-02-25 22:24:00,2024-02-27 19:01:00,44.61,0.20
111032024,137974,Logical Reasoning and Objectivity (critical thinking),0,0.1,0.4,2024-02-25 22:24:00,2024-02-27 19:27:00,45.05,0.05
112032024,137974,Problem-solving,1,0.1,0.4,2024-02-25 22:24:00,2024-02-27 19:27:00,45.05,0.05
113032024,137974,Writing coding effectively,1,0.1,0.4,2024-02-25 22:24:00,2024-02-27 19:27:00,45.05,0.05
114032024,137974,Interaction with algorithm,1,0.1,0.4,2024-02-25 22:24:00,2024-02-27 19:27:00,45.05,0.05
115032024,137974,Mapping code using a flowchart and pseudocode,1,0.1,0.4,2024-02-25 22:24:00,2024-02-27 19:27:00,45.05,0.05
116032024,138157,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.34,2024-02-25 22:24:00,2024-02-27 19:25:00,45.02,0.15
117032024,138157,Problem-solving,1,0.033,0.34,2024-02-25 22:24:00,2024-02-27 19:25:00,45.02,0.15
118032024,138157,Writing coding effectively,1,0.033,0.34,2024-02-25 22:24:00,2024-02-27 19:25:00,45.02,0.15
119032024,138157,Interaction with algorithm,1,0.033,0.34,2024-02-25 22:24:00,2024-02-27 19:25:00,45.02,0.15
120032024,138157,Mapping code using a flowchart and pseudocode,1,0.033,0.34,2024-02-25 22:24:00,2024-02-27 19:25:00,45.02,0.15
121032024,138200,Logical Reasoning and Objectivity (critical thinking),0,0.033,0.58,2024-02-25 22:24:00,2024-02-27 21:00:00,46.61,0.20
122032024,138200,Problem-solving,0,0.033,0.58,2024-02-25 22:24:00,2024-02-27 21:00:00,46.61,0.20
123032024,138200,Writing coding effectively,1,0.033,0.58,2024-02-25 22:24:00,2024-02-27 21:00:00,46.61,0.20
124032024,138200,Interaction with algorithm,1,0.033,0.58,2024-02-25 22:24:00,2024-02-27 21:00:00,46.61,0.20
125032024,138200,Mapping code using a flowchart and pseudocode,1,0.033,0.58,2024-02-25 22:24:00,2024-02-27 21:00:00,46.61,0.20
126032024,138401,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.71,2024-02-25 22:24:00,2024-02-27 20:20:00,45.94,0.25
127032024,138401,Problem-solving,1,0.0,0.71,2024-02-25 22:24:00,2024-02-27 20:20:00,45.94,0.25
128032024,138401,Writing coding effectively,1,0.0,0.71,2024-02-25 22:24:00,2024-02-27 20:20:00,45.94,0.25
129032024,138401,Interaction with algorithm,1,0.0,0.71,2024-02-25 22:24:00,2024-02-27 20:20:00,45.94,0.25
130032024,138401,Mapping code using a flowchart and pseudocode,0,0.0,0.71,2024-02-25 22:24:00,2024-02-27 20:20:00,45.94,0.25
131032024,138485,Logical Reasoning and Objectivity (critical thinking),1,0.033,0.43,2024-02-25 22:24:00,2024-02-27 21:13:00,46.81,0.40
132032024,138485,Problem-solving,1,0.033,0.43,2024-02-25 22:24:00,2024-02-27 21:13:00,46.81,0.40
133032024,138485,Writing coding effectively,1,0.033,0.43,2024-02-25 22:24:00,2024-02-27 21:13:00,46.81,0.40
134032024,138485,Interaction with algorithm,1,0.033,0.43,2024-02-25 22:24:00,2024-02-27 21:13:00,46.81,0.40
135032024,138485,Mapping code using a flowchart and pseudocode,1,0.033,0.43,2024-02-25 22:24:00,2024-02-27 21:13:00,46.81,0.40
136032024,138604,Logical Reasoning and Objectivity (critical thinking),1,0.033,0.13,2024-02-25 22:24:00,2024-02-27 21:41:00,47.28,0.40
137032024,138604,Problem-solving,1,0.033,0.13,2024-02-25 22:24:00,2024-02-27 21:41:00,47.28,0.40
138032024,138604,Writing coding effectively,1,0.033,0.13,2024-02-25 22:24:00,2024-02-27 21:41:00,47.28,0.40
139032024,138604,Interaction with algorithm,1,0.033,0.13,2024-02-25 22:24:00,2024-02-27 21:41:00,47.28,0.40
140032024,138604,Mapping code using a flowchart and pseudocode,1,0.033,0.13,2024-02-25 22:24:00,2024-02-27 21:41:00,47.28,0.40
141032024,138645,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.17,2024-02-25 22:24:00,2024-02-27 21:59:00,47.58,0.25
142032024,138645,Problem-solving,1,0.067,0.17,2024-02-25 22:24:00,2024-02-27 21:59:00,47.58,0.25
143032024,138645,Writing coding effectively,1,0.067,0.17,2024-02-25 22:24:00,2024-02-27 21:59:00,47.58,0.25
144032024,138645,Interaction with algorithm,1,0.067,0.17,2024-02-25 22:24:00,2024-02-27 21:59:00,47.58,0.25
145032024,138645,Mapping code using a flowchart and pseudocode,0,0.067,0.17,2024-02-25 22:24:00,2024-02-27 21:59:00,47.58,0.25
146032024,138810,Logical Reasoning and Objectivity (critical thinking),0,0.167,0.16,2024-02-25 22:24:00,2024-02-27 21:44:00,47.33,0.05
147032024,138810,Problem-solving,0,0.167,0.16,2024-02-25 22:24:00,2024-02-27 21:44:00,47.33,0.05
148032024,138810,Writing coding effectively,1,0.167,0.16,2024-02-25 22:24:00,2024-02-27 21:44:00,47.33,0.05
149032024,138810,Interaction with algorithm,1,0.167,0.16,2024-02-25 22:24:00,2024-02-27 21:44:00,47.33,0.05
150032024,138810,Mapping code using a flowchart and pseudocode,0,0.167,0.16,2024-02-25 22:24:00,2024-02-27 21:44:00,47.33,0.05
151032024,139254,Logical Reasoning and Objectivity (critical thinking),1,0.0,0.24,2024-02-25 22:24:00,2024-02-27 12:11:00,37.78,0.10
152032024,139254,Problem-solving,1,0.0,0.24,2024-02-25 22:24:00,2024-02-27 12:11:00,37.78,0.10
153032024,139254,Writing coding effectively,1,0.0,0.24,2024-02-25 22:24:00,2024-02-27 12:11:00,37.78,0.10
154032024,139254,Interaction with algorithm,1,0.0,0.24,2024-02-25 22:24:00,2024-02-27 12:11:00,37.78,0.10
155032024,139254,Mapping code using a flowchart and pseudocode,0,0.0,0.24,2024-02-25 22:24:00,2024-02-27 12:11:00,37.78,0.10
156032024,141031,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.39,2024-02-25 22:24:00,2024-02-26 10:54:00,12.5,0.20
157032024,141031,Problem-solving,0,0.067,0.39,2024-02-25 22:24:00,2024-02-26 10:54:00,12.5,0.20
158032024,141031,Writing coding effectively,1,0.067,0.39,2024-02-25 22:24:00,2024-02-26 10:54:00,12.5,0.20
159032024,141031,Interaction with algorithm,1,0.067,0.39,2024-02-25 22:24:00,2024-02-26 10:54:00,12.5,0.20
160032024,141031,Mapping code using a flowchart and pseudocode,0,0.067,0.39,2024-02-25 22:24:00,2024-02-26 10:54:00,12.5,0.20
