Unnamed: 0,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
43032024,1,136450,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
44032024,1,136450,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
45032024,1,136450,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
46032024,1,136480,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,0,1,1,Logical Reasoning and Objectivity (critical thinking),1
47032024,1,136480,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
48032024,1,136480,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
49032024,1,136480,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
50032024,1,136480,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
51032024,1,136565,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
52032024,1,136565,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
53032024,1,136565,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
54032024,1,136565,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
55032024,1,136565,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
56032024,1,136629,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,0,1,1,Logical Reasoning and Objectivity (critical thinking),1
57032024,1,136629,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
58032024,1,136629,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
59032024,1,136629,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
60032024,1,136629,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
61032024,1,136912,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
62032024,1,136912,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
63032024,1,136912,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
64032024,1,136912,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
65032024,1,136912,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
66032024,1,136943,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
67032024,1,136943,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
68032024,1,136943,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
69032024,1,136943,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
70032024,1,136943,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
71032024,1,137146,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
72032024,1,137146,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
73032024,1,137146,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
74032024,1,137146,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
75032024,1,137146,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
76032024,1,137171,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
77032024,1,137171,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
78032024,1,137171,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
79032024,1,137171,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
80032024,1,137171,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
81032024,1,137238,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
82032024,1,137238,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
83032024,1,137238,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
84032024,1,137238,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
85032024,1,137238,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
86032024,1,137259,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
87032024,1,137259,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
88032024,1,137259,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
89032024,1,137259,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
90032024,1,137259,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
91032024,1,137407,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
92032024,1,137407,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,1,1,0,Problem-solving,1
93032024,1,137407,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
94032024,1,137407,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
95032024,1,137407,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
96032024,1,137472,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
97032024,1,137472,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
98032024,1,137472,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
99032024,1,137472,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
100032024,1,137472,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
101032024,1,137620,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
102032024,1,137620,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
103032024,1,137620,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
104032024,1,137620,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
105032024,1,137620,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
106032024,1,137974,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
107032024,1,137974,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
108032024,1,137974,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
109032024,1,137974,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
110032024,1,137974,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
111032024,1,138157,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
112032024,1,138157,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
113032024,1,138157,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
114032024,1,138157,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
115032024,1,138157,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
116032024,1,138200,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
117032024,1,138200,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,1,1,0,Problem-solving,1
118032024,1,138200,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
119032024,1,138200,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
120032024,1,138200,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
121032024,1,138401,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
122032024,1,138401,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
123032024,1,138401,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
124032024,1,138401,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
125032024,1,138401,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
126032024,1,138485,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,0,1,1,Logical Reasoning and Objectivity (critical thinking),1
127032024,1,138485,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
128032024,1,138485,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
129032024,1,138485,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
130032024,1,138485,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
131032024,1,138604,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,0,1,1,Logical Reasoning and Objectivity (critical thinking),1
132032024,1,138604,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
133032024,1,138604,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
134032024,1,138604,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
135032024,1,138604,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,0,1,1,Mapping code using a flowchart and pseudocode,1
136032024,1,138645,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
137032024,1,138645,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
138032024,1,138645,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
139032024,1,138645,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
140032024,1,138645,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
141032024,1,138810,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
142032024,1,138810,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,1,1,0,Problem-solving,1
143032024,1,138810,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
144032024,1,138810,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
145032024,1,138810,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
146032024,1,139254,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,0,1,1,Logical Reasoning and Objectivity (critical thinking),1
147032024,1,139254,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,0,1,1,Problem-solving,1
148032024,1,139254,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
149032024,1,139254,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
150032024,1,139254,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
151032024,1,141031,Logical Reasoning and Objectivity (critical thinking),Logical Reasoning and Objectivity (critical thinking),1,Logical Reasoning and Objectivity (critical thinking),0,0,0,0,0,0,0,0,1,1,0,Logical Reasoning and Objectivity (critical thinking),1
152032024,1,141031,Problem-solving,Problem-solving,1,Problem-solving,0,0,0,0,0,0,0,0,1,1,0,Problem-solving,1
153032024,1,141031,Writing coding effectively,Writing coding effectively,1,Writing coding effectively,0,0,0,0,0,0,0,0,0,1,1,Writing coding effectively,1
154032024,1,141031,Interaction with algorithm,Interaction with algorithm,1,Interaction with algorithm,0,0,0,0,0,0,0,0,0,1,1,Interaction with algorithm,1
155032024,1,141031,Mapping code using a flowchart and pseudocode,Mapping code using a flowchart and pseudocode,1,Mapping code using a flowchart and pseudocode,0,0,0,0,0,0,0,0,1,1,0,Mapping code using a flowchart and pseudocode,1
