student_code,Student_id,Skill,Corrects,absence_rate,AI detection ,start_time,submit time,delivery_hours
124032024,138200,Interaction with algorithm,1,0.033,0.58,2024-02-25 22:24:00,2024-02-27 21:00:00,46.61
125032024,138200,Mapping code using a flowchart and pseudocode,1,0.033,0.58,2024-02-25 22:24:00,2024-02-27 21:00:00,46.61
126032024,138401,Logical Reasoning and Objectivity (critical thinking),0,0.0,0.71,2024-02-25 22:24:00,2024-02-27 20:20:00,45.94
127032024,138401,Problem-solving,1,0.0,0.71,2024-02-25 22:24:00,2024-02-27 20:20:00,45.94
128032024,138401,Writing coding effectively,1,0.0,0.71,2024-02-25 22:24:00,2024-02-27 20:20:00,45.94
129032024,138401,Interaction with algorithm,1,0.0,0.71,2024-02-25 22:24:00,2024-02-27 20:20:00,45.94
130032024,138401,Mapping code using a flowchart and pseudocode,0,0.0,0.71,2024-02-25 22:24:00,2024-02-27 20:20:00,45.94
131032024,138485,Logical Reasoning and Objectivity (critical thinking),1,0.033,0.43,2024-02-25 22:24:00,2024-02-27 21:13:00,46.81
132032024,138485,Problem-solving,1,0.033,0.43,2024-02-25 22:24:00,2024-02-27 21:13:00,46.81
133032024,138485,Writing coding effectively,1,0.033,0.43,2024-02-25 22:24:00,2024-02-27 21:13:00,46.81
134032024,138485,Interaction with algorithm,1,0.033,0.43,2024-02-25 22:24:00,2024-02-27 21:13:00,46.81
135032024,138485,Mapping code using a flowchart and pseudocode,1,0.033,0.43,2024-02-25 22:24:00,2024-02-27 21:13:00,46.81
136032024,138604,Logical Reasoning and Objectivity (critical thinking),1,0.033,0.13,2024-02-25 22:24:00,2024-02-27 21:41:00,47.28
137032024,138604,Problem-solving,1,0.033,0.13,2024-02-25 22:24:00,2024-02-27 21:41:00,47.28
138032024,138604,Writing coding effectively,1,0.033,0.13,2024-02-25 22:24:00,2024-02-27 21:41:00,47.28
139032024,138604,Interaction with algorithm,1,0.033,0.13,2024-02-25 22:24:00,2024-02-27 21:41:00,47.28
140032024,138604,Mapping code using a flowchart and pseudocode,1,0.033,0.13,2024-02-25 22:24:00,2024-02-27 21:41:00,47.28
141032024,138645,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.17,2024-02-25 22:24:00,2024-02-27 21:59:00,47.58
142032024,138645,Problem-solving,1,0.067,0.17,2024-02-25 22:24:00,2024-02-27 21:59:00,47.58
143032024,138645,Writing coding effectively,1,0.067,0.17,2024-02-25 22:24:00,2024-02-27 21:59:00,47.58
144032024,138645,Interaction with algorithm,1,0.067,0.17,2024-02-25 22:24:00,2024-02-27 21:59:00,47.58
145032024,138645,Mapping code using a flowchart and pseudocode,0,0.067,0.17,2024-02-25 22:24:00,2024-02-27 21:59:00,47.58
146032024,138810,Logical Reasoning and Objectivity (critical thinking),0,0.167,0.16,2024-02-25 22:24:00,2024-02-27 21:44:00,47.33
147032024,138810,Problem-solving,0,0.167,0.16,2024-02-25 22:24:00,2024-02-27 21:44:00,47.33
148032024,138810,Writing coding effectively,1,0.167,0.16,2024-02-25 22:24:00,2024-02-27 21:44:00,47.33
149032024,138810,Interaction with algorithm,1,0.167,0.16,2024-02-25 22:24:00,2024-02-27 21:44:00,47.33
150032024,138810,Mapping code using a flowchart and pseudocode,0,0.167,0.16,2024-02-25 22:24:00,2024-02-27 21:44:00,47.33
151032024,139254,Logical Reasoning and Objectivity (critical thinking),1,0.0,0.24,2024-02-25 22:24:00,2024-02-27 12:11:00,37.78
152032024,139254,Problem-solving,1,0.0,0.24,2024-02-25 22:24:00,2024-02-27 12:11:00,37.78
153032024,139254,Writing coding effectively,1,0.0,0.24,2024-02-25 22:24:00,2024-02-27 12:11:00,37.78
154032024,139254,Interaction with algorithm,1,0.0,0.24,2024-02-25 22:24:00,2024-02-27 12:11:00,37.78
155032024,139254,Mapping code using a flowchart and pseudocode,0,0.0,0.24,2024-02-25 22:24:00,2024-02-27 12:11:00,37.78
156032024,141031,Logical Reasoning and Objectivity (critical thinking),0,0.067,0.39,2024-02-25 22:24:00,2024-02-26 10:54:00,12.5
157032024,141031,Problem-solving,0,0.067,0.39,2024-02-25 22:24:00,2024-02-26 10:54:00,12.5
158032024,141031,Writing coding effectively,1,0.067,0.39,2024-02-25 22:24:00,2024-02-26 10:54:00,12.5
159032024,141031,Interaction with algorithm,1,0.067,0.39,2024-02-25 22:24:00,2024-02-26 10:54:00,12.5
160032024,141031,Mapping code using a flowchart and pseudocode,0,0.067,0.39,2024-02-25 22:24:00,2024-02-26 10:54:00,12.5
